"","Actual_Stress","Predict_Stress","Predict_Stress_SE"
"2022-09-09 00:00:00",26,36.712732597872,10.1699277573896
"2022-09-09 01:00:00",26,34.7811491940038,13.6991369706413
"2022-09-09 02:00:00",18,30.5691858587069,14.6459253172549
"2022-09-09 03:00:00",18,28.0832173542455,14.8495639421492
"2022-09-09 04:00:00",24,27.1046423968116,15.0032222324657
"2022-09-09 05:00:00",17,26.9733184256462,15.0951389664502
"2022-09-09 06:00:00",16,28.7368571141804,15.1569898515653
"2022-09-09 07:00:00",19,41.1538365946839,15.1787352515315
"2022-09-09 08:00:00",22,55.8556859613762,15.1926005473445
"2022-09-09 09:00:00",52,61.9109537342799,15.1979877963363
"2022-09-09 10:00:00",60,65.2501049213777,15.2021777551403
"2022-09-09 11:00:00",56,62.2307155715879,15.2036319165892
"2022-09-09 12:00:00",45,62.4449598226855,15.2047658045205
"2022-09-09 13:00:00",56,61.5036528584191,15.205104170961
"2022-09-09 14:00:00",69,61.7210315315668,15.2053761237668
"2022-09-09 15:00:00",70,64.7495433114934,15.2054008141966
"2022-09-09 16:00:00",66,67.8406188963129,15.2053202727472
"2022-09-09 17:00:00",62,70.8405593668993,15.2050773194055
"2022-09-09 18:00:00",53,67.6635197538074,15.2043416056112
"2022-09-09 19:00:00",69,56.5079134208131,15.2032278012271
"2022-09-09 20:00:00",74,55.0798979005581,15.2013631997397
"2022-09-09 21:00:00",70,55.526591140925,15.1989272558412
"2022-09-09 22:00:00",44,49.3304430926408,15.1880147324241
"2022-09-09 23:00:00",38,51.1221123993118,15.1537481498257
"2022-09-10 00:00:00",13,41.9158214387521,15.1540879516529
"2022-09-10 01:00:00",18,37.3715219255673,15.1884378358816
"2022-09-10 02:00:00",16,33.2342181295201,15.1994393904544
"2022-09-10 03:00:00",16,30.2935353081687,15.2018860413359
"2022-09-10 04:00:00",20,29.2939400702354,15.2037722613274
"2022-09-10 05:00:00",18,28.6138425266916,15.2048964976259
"2022-09-10 06:00:00",19,30.3636178819204,15.2056644016525
"2022-09-10 07:00:00",30,42.5213160164954,15.2059316270684
"2022-09-10 08:00:00",49,57.2640181508072,15.2061040081866
"2022-09-10 09:00:00",66,63.1582556482945,15.2061691360823
"2022-09-10 10:00:00",50,66.526486520103,15.2062177114848
"2022-09-10 11:00:00",41,63.4108826995352,15.2062311811346
"2022-09-10 12:00:00",28,63.6521585516873,15.2062313794054
"2022-09-10 13:00:00",33,62.6533602567031,15.2062178381316
"2022-09-10 14:00:00",48,62.8910015571354,15.2061699800785
"2022-09-10 15:00:00",35,65.8842261877871,15.2061047593868
"2022-09-10 16:00:00",38,68.9900854743421,15.2059344612669
"2022-09-10 17:00:00",36,71.9683675481521,15.2056672779242
"2022-09-10 18:00:00",58,68.8017604604369,15.2049069338076
"2022-09-10 19:00:00",51,57.6326949869531,15.2037841483143
"2022-09-10 20:00:00",61,56.2118721696478,15.2019186568662
"2022-09-10 21:00:00",66,56.6501498827316,15.1994791164094
"2022-09-10 22:00:00",62,50.4588927022688,15.1885662757967
"2022-09-10 23:00:00",55,52.2452655805716,15.154285943956
